Img_Name,Top,Left,Width,Height,Label
06-05 17.54.38.jpg,557,1426,43,48,Speed Limit 40
06-07 10.19.51.jpg,543,553,92,94,Speed Limit 30
06-07 10.22.08.jpg,570,475,75,70,Speed Limit 30
06-07 14.12.09.jpg,475,1481,94,89,Speed Limit 30
06-07 14.18.59.jpg,498,1640,83,90,Speed Limit 30
06-07 14.24.26.jpg,496,1558,103,97,Speed Limit 30
06-07 14.26.47.jpg,462,242,134,127,Speed Limit 60
06-07 14.29.12.jpg,606,686,62,56,Speed Limit 60
06-07 09.45.07.jpg,472,432,57,71,Speed Limit 40
05-08 11.34.00.jpg,316,116,191,172,Speed Limit 30
05-08 11.41.06.jpg,603,682,77,74,Speed Limit 30
05-08 13.43.45.jpg,633,424,54,70,Speed Limit 50
05-08 13.57.02.jpg,425,203,113,105,Speed Limit 40
05-08 13.58.27.jpg,545,621,70,69,Speed Limit 40
05-08 14.06.56.jpg,614,563,66,67,Speed Limit 40
05-08 11.36.35.jpg,215,1260,178,231,Speed Limit 30
05-08 14.01.25.jpg,152,1657,139,215,Speed Limit 40
05-08 11.41.08.jpg,646,74,74,134,Speed Limit 40
06-08 10.44.58.jpg,607,1303,40,40,Speed Limit 20
05-09 09.26.44.jpg,680,834,36,33,Speed Limit 30
05-09 09.31.53.jpg,654,679,42,42,Speed Limit 30
05-09 10.52.39.jpg,676,587,43,41,Speed Limit 40
05-09 12.27.15.jpg,509,231,88,89,Speed Limit 50
05-09 12.41.59.jpg,580,356,64,63,Speed Limit 40
05-09 12.48.39.jpg,627,709,51,50,Speed Limit 40
05-09 08.07.07.jpg,278,1176,77,159,Speed Limit 20
05-11 14.51.33.jpg,562,515,61,63,Speed Limit 30
05-11 14.57.57.jpg,502,549,77,71,Speed Limit 30
05-11 15.31.29.jpg,525,547,80,74,Speed Limit 30
05-11 15.56.33.jpg,555,302,102,102,Speed Limit 40
05-11 16.04.43.jpg,536,318,98,95,Speed Limit 40
05-11 16.07.30.jpg,622,675,58,57,Speed Limit 40
05-11 16.08.30.jpg,636,803,61,62,Speed Limit 20
05-11 16.12.50.jpg,560,377,79,92,Speed Limit 30
05-11 16.17.40.jpg,535,425,92,89,Speed Limit 40
05-11 16.21.51.jpg,668,1025,35,35,Speed Limit 40
05-11 14.50.00.jpg,364,1106,33,96,Speed Limit 30
06-11 14.10.18.jpg,569,1709,96,93,Speed Limit 40
06-11 14.12.24.jpg,629,1394,41,37,Speed Limit 40
06-11 14.14.22.jpg,599,1307,47,46,Speed Limit 40
05-12 12.00.05.jpg,71,1681,176,234,Speed Limit 40
05-12 12.00.58.jpg,-10,1157,99,196,Speed Limit 40
05-12 12.07.24.jpg,280,1724,107,141,Speed Limit 40
05-19 11.45.56.jpg,400,317,127,118,Speed Limit 20
05-19 13.43.50.jpg,455,700,69,74,Speed Limit 60
05-19 13.45.38.jpg,247,96,180,160,Speed Limit 40
05-19 16.57.21.jpg,447,254,63,63,Speed Limit 20
05-19 17.56.40.jpg,500,404,50,48,Speed Limit 60
05-19 18.02.20.jpg,463,471,64,65,Speed Limit 60
05-19 17.59.05.jpg,223,1786,136,192,Speed Limit 60
05-20 09.16.38.jpg,429,557,110,113,Speed Limit 80
05-20 09.24.05.jpg,515,199,48,43,Speed Limit 40
05-20 09.24.16.jpg,433,176,74,65,Speed Limit 20
05-20 10.34.43.jpg,475,192,95,86,Speed Limit 80
05-20 11.21.39.jpg,440,497,80,74,Speed Limit 40
05-20 11.25.28.jpg,500,424,52,55,Speed Limit 40
05-20 11.26.15.jpg,516,568,43,48,Speed Limit 60
05-20 12.40.49.jpg,341,4,150,171,Speed Limit 30
05-20 12.56.23.jpg,474,301,73,78,Speed Limit 30
05-20 08.48.06.jpg,354,1211,67,136,Speed Limit 60
05-20 13.34.23.jpg,597,6,61,106,Speed Limit 20
05-27 14.32.00.jpg,386,1210,65,105,Speed Limit 20
05-28 09.59.59.jpg,452,420,86,84,Speed Limit 50
05-28 10.02.48.jpg,461,161,66,70,Speed Limit 50
05-28 10.41.18.jpg,556,499,38,38,Speed Limit 50
05-28 10.47.03.jpg,583,358,48,43,Speed Limit 50
05-28 13.14.38.jpg,586,510,40,42,Speed Limit 50
05-28 13.21.45.jpg,520,266,59,49,Speed Limit 50
05-28 13.28.05.jpg,460,216,96,83,Speed Limit 50
05-28 13.27.21.jpg,279,1242,68,112,Speed Limit 50
05-28 11.21.13.jpg,510,993,32,81,Speed Limit 20
02-13 13.26.15.jpg,349,271,31,31,Speed Limit 40
02-13 14.16.03.jpg,355,668,29,28,Speed Limit 80
08-08 14.42.20.jpg,304,920,35,35,Speed Limit 50
08-08 15.45.17.jpg,189,688,15,48,Speed Limit 80
08-09 11.15.21.jpg,212,80,28,40,Speed Limit 50
08-10 17.05.46.jpg,348,387,26,25,Speed Limit 60
08-10 16.33.50.jpg,167,1051,54,94,Speed Limit 60
08-10 16.27.23.jpg,262,697,25,43,Speed Limit 60
08-11 14.01.58.jpg,343,973,58,58,Speed Limit 60
08-11 14.18.32.jpg,79,1056,67,121,Speed Limit 60
08-12 08.30.34.jpg,291,172,65,61,Speed Limit 60
08-12 08.32.20.jpg,342,324,47,44,Speed Limit 60
08-12 09.05.20.jpg,266,108,71,75,Speed Limit 50
08-12 09.05.57.jpg,312,167,40,56,Speed Limit 50
08-12 09.06.38.jpg,229,-13,56,94,Speed Limit 50
08-12 09.43.18.jpg,280,224,74,76,Speed Limit 50
08-12 09.45.25.jpg,376,425,39,38,Speed Limit 50
08-12 09.45.43.jpg,341,352,59,54,Speed Limit 50
08-12 09.47.17.jpg,255,35,69,72,Speed Limit 60
08-12 10.02.22.jpg,274,69,64,64,Speed Limit 50
08-12 10.47.58.jpg,281,166,58,56,Speed Limit 50
08-12 09.34.28.jpg,126,978,43,133,Speed Limit 50
08-12 09.46.57.jpg,128,1163,60,100,Speed Limit 60
08-13 11.28.25.jpg,389,1006,44,45,Speed Limit 40
08-13 15.55.44.jpg,397,410,20,19,Speed Limit 80
08-13 16.06.02.jpg,394,319,23,25,Speed Limit 50
08-13 16.22.32.jpg,372,246,26,28,Speed Limit 80
08-13 16.29.52.jpg,377,314,33,31,Speed Limit 80
08-13 16.35.14.jpg,303,53,60,53,Speed Limit 80
08-13 16.38.11.jpg,400,418,27,24,Speed Limit 80
08-13 16.45.45.jpg,367,181,34,35,Speed Limit 80
08-13 16.55.56.jpg,399,361,21,20,Speed Limit 80
08-13 16.58.26.jpg,319,91,45,47,Speed Limit 80
08-16 10.34.40.jpg,353,1001,59,62,Speed Limit 50
08-16 11.21.51.jpg,389,985,44,42,Speed Limit 50
08-16 12.05.45.jpg,314,1116,51,47,Speed Limit 50
08-16 13.22.37.jpg,260,1069,93,86,Speed Limit 50
08-16 09.56.21.jpg,169,383,19,63,Speed Limit 50
08-16 12.00.58.jpg,-3,884,74,116,Speed Limit 50
08-17 11.14.39.jpg,309,115,48,48,Speed Limit 50
08-17 12.40.03.jpg,382,495,55,65,Speed Limit 60
08-17 13.13.17.jpg,374,334,43,41,Speed Limit 60
08-17 13.15.27.jpg,382,323,35,34,Speed Limit 50
08-18 13.50.28.jpg,291,18,87,89,Speed Limit 50
08-18 14.20.57.jpg,389,403,44,45,Speed Limit 50
08-19 13.03.05.jpg,362,85,60,67,Speed Limit 50
08-20 10.31.56.jpg,322,811,106,113,Speed Limit 50
08-20 10.33.52.jpg,323,870,48,49,Speed Limit 50
08-20 10.44.10.jpg,214,900,72,112,Speed Limit 50
08-20 10.45.53.jpg,189,996,133,135,Speed Limit 50
08-22 11.30.07.jpg,427,321,46,46,Speed Limit 50
08-22 11.39.53.jpg,438,1008,56,52,Speed Limit 50
08-22 11.47.47.jpg,405,69,62,63,Speed Limit 50
08-22 11.50.21.jpg,406,123,66,60,Speed Limit 50
08-22 11.27.22.jpg,283,869,54,105,Speed Limit 50
08-23 10.54.43.jpg,438,389,47,45,Speed Limit 50
08-23 16.56.33.jpg,316,1169,51,47,Speed Limit 50
08-23 17.12.10.jpg,380,135,58,54,Speed Limit 50
08-25 11.04.25.jpg,430,443,32,31,Speed Limit 50
08-25 11.43.15.jpg,398,1034,50,47,Speed Limit 50
08-25 11.43.19.jpg,421,1036,37,30,Speed Limit 50
08-25 15.14.18.jpg,277,153,85,83,Speed Limit 50
08-25 17.01.32.jpg,412,415,52,50,Speed Limit 50
08-25 17.54.02.jpg,362,275,60,60,Speed Limit 50
08-26 12.47.14.jpg,421,358,35,38,Speed Limit 60
08-26 13.37.03.jpg,391,145,36,42,Speed Limit 50
08-26 14.49.26.jpg,388,119,45,48,Speed Limit 60
08-26 17.32.09.jpg,359,72,47,47,Speed Limit 50
08-26 17.33.42.jpg,419,382,41,40,Speed Limit 60
08-26 13.23.39.jpg,49,1113,121,173,Speed Limit 50
08-26 13.33.54.jpg,122,899,47,112,Speed Limit 50
08-26 17.51.32.jpg,134,1183,92,137,Speed Limit 60
08-26 17.14.00.jpg,116,173,61,72,Speed Limit 50
08-27 10.54.40.jpg,340,969,59,58,Speed Limit 50
08-27 10.54.59.jpg,335,901,52,54,Speed Limit 60
08-27 10.55.08.jpg,352,901,58,58,Speed Limit 50
08-27 10.55.15.jpg,223,1062,93,88,Speed Limit 60
08-27 12.26.19.jpg,384,897,41,42,Speed Limit 60
08-27 12.26.45.jpg,336,1160,55,55,Speed Limit 60
08-27 12.28.38.jpg,385,932,41,42,Speed Limit 60
08-27 12.43.40.jpg,397,404,46,46,Speed Limit 50
08-27 12.48.30.jpg,418,1025,53,53,Speed Limit 50
08-30 10.41.06.jpg,471,478,26,23,Speed Limit 40
08-30 10.46.06.jpg,445,307,38,39,Speed Limit 40
08-31 13.41.46.jpg,459,447,17,18,Speed Limit 60
08-31 13.44.05.jpg,449,381,19,16,Speed Limit 60
08-31 13.46.15.jpg,371,126,61,50,Speed Limit 30
08-31 13.51.16.jpg,375,157,43,41,Speed Limit 60
02-07 05.20.19.jpg,252,125,69,68,Speed Limit 40
02-19 10.55.41.jpg,339,841,55,53,Speed Limit 50
02-19 10.55.48.jpg,325,847,61,60,Speed Limit 20
04-04 12.11.52.jpg,325,687,46,44,Speed Limit 30
04-04 12.40.30.jpg,361,992,31,28,Speed Limit 30
04-04 12.46.06.jpg,378,806,13,48,Speed Limit 30
04-05 03.31.03.jpg,354,898,28,27,Speed Limit 20
04-17 01.40.44.jpg,367,929,43,42,Speed Limit 40
04-17 05.00.20.jpg,141,700,73,55,Speed Limit 30
04-17 05.02.40.jpg,63,932,61,54,Speed Limit 30
04-17 05.04.56.jpg,315,71,77,70,Speed Limit 30
04-17 05.29.12.jpg,362,1193,27,32,Speed Limit 40
04-17 05.30.55.jpg,183,950,92,83,Speed Limit 40
04-17 05.31.31.jpg,392,780,33,33,Speed Limit 40
04-17 05.36.02.jpg,351,43,33,33,Speed Limit 40
04-17 05.39.00.jpg,295,761,50,51,Speed Limit 40
04-17 05.44.17.jpg,276,127,69,65,Speed Limit 40
04-24 04.20.38.jpg,143,762,43,47,Speed Limit 40
03-04 10.34.28.jpg,232,1225,59,67,Speed Limit 30
03-04 10.47.36.jpg,264,1115,68,60,Speed Limit 30
03-04 11.00.46.jpg,466,137,33,33,Speed Limit 40
03-04 11.04.41.jpg,401,21,48,54,Speed Limit 40
03-04 11.15.23.jpg,247,812,28,63,Speed Limit 40
03-04 11.22.28.jpg,393,1089,28,48,Speed Limit 40
03-04 10.36.14.jpg,351,666,23,60,Speed Limit 30
03-06 12.18.30.jpg,543,206,36,37,Speed Limit 20
03-06 12.43.56.jpg,558,193,37,63,Speed Limit 40
03-07 03.56.52.jpg,197,1109,88,113,Speed Limit 30
03-07 04.04.12.jpg,85,287,90,95,Speed Limit 30
02-15 12.11.47.jpg,108,61,118,102,Speed Limit 30
02-15 12.12.14.jpg,237,1109,70,61,Speed Limit 30
02-15 12.12.44.jpg,279,305,57,58,Speed Limit 30
02-15 12.14.39.jpg,340,957,46,42,Speed Limit 30
03-01 09.55.18.jpg,349,362,44,41,Speed Limit 40
03-01 09.56.37.jpg,344,353,42,40,Speed Limit 30
03-01 10.00.48.jpg,388,324,35,33,Speed Limit 30
03-01 10.01.26.jpg,386,373,30,28,Speed Limit 30
03-01 10.02.30.jpg,400,456,21,19,Speed Limit 30
03-01 10.12.28.jpg,392,487,29,25,Speed Limit 40
03-01 10.02.57.jpg,197,956,59,98,Speed Limit 40
03-02 03.01.17.jpg,301,164,45,40,Speed Limit 80
03-02 03.04.05.jpg,276,123,62,51,Speed Limit 80
03-02 04.05.46.jpg,397,368,23,19,Speed Limit 80
03-02 04.11.27.jpg,276,160,62,57,Speed Limit 80
03-02 04.44.41.jpg,300,212,54,47,Speed Limit 80
03-02 04.49.36.jpg,354,283,36,36,Speed Limit 80
03-02 04.52.24.jpg,325,234,40,41,Speed Limit 80
03-02 04.56.09.jpg,368,145,39,35,Speed Limit 40
03-02 04.58.38.jpg,331,302,33,32,Speed Limit 80
03-02 04.59.29.jpg,340,76,45,38,Speed Limit 80
03-02 05.47.25.jpg,395,332,23,22,Speed Limit 40
03-02 01.13.30.jpg,217,1146,46,61,Speed Limit 80
03-03 01.21.30.jpg,218,25,62,58,Speed Limit 30
03-03 09.43.21.jpg,277,459,28,26,Speed Limit 40
03-03 09.43.30.jpg,277,292,34,29,Speed Limit 80
03-03 11.22.57.jpg,273,38,48,43,Speed Limit 50
03-03 11.23.16.jpg,271,21,52,44,Speed Limit 50
03-03 11.29.02.jpg,187,851,47,44,Speed Limit 40
03-03 11.37.32.jpg,293,391,20,18,Speed Limit 40
03-05 01.12.26.jpg,300,368,49,46,Speed Limit 60
03-05 02.27.40.jpg,325,385,29,29,Speed Limit 60
03-06 03.14.18.jpg,205,1,92,109,Speed Limit 20
03-06 10.32.23.jpg,265,146,82,68,Speed Limit 20
03-06 10.42.49.jpg,314,142,57,53,Speed Limit 40
03-06 10.54.44.jpg,275,196,60,50,Speed Limit 40
03-06 10.41.29.jpg,138,1152,56,104,Speed Limit 40
03-07 02.42.09.jpg,293,332,59,55,Speed Limit 40
03-08 01.14.55.jpg,240,467,87,83,Speed Limit 40
03-08 04.10.36.jpg,188,75,150,139,Speed Limit 40
03-08 11.41.27.jpg,338,307,55,54,Speed Limit 30
03-08 01.47.53.jpg,117,826,43,106,Speed Limit 20
01-09 01.46.39.jpg,357,872,30,31,Speed Limit 50
01-09 11.47.13.jpg,288,156,64,59,Speed Limit 40
03-09 04.19.13.jpg,257,-5,112,100,Speed Limit 20
03-10 03.15.59.jpg,312,360,36,36,Speed Limit 60
03-10 03.24.52.jpg,336,375,35,34,Speed Limit 60
03-10 03.25.29.jpg,359,427,26,27,Speed Limit 60
03-10 03.27.27.jpg,296,283,50,50,Speed Limit 60
03-10 10.20.17.jpg,304,361,56,52,Speed Limit 40
03-11 11.26.16.jpg,321,226,55,52,Speed Limit 80
03-11 11.33.03.jpg,253,445,67,62,Speed Limit 40
03-11 11.35.48.jpg,385,70,45,39,Speed Limit 80
01-14 02.49.18.jpg,252,98,58,56,Speed Limit 30
01-14 04.30.02.jpg,33,-2,108,113,Speed Limit 50
03-15 02.27.33.jpg,228,763,62,60,Speed Limit 40
03-15 03.10.05.jpg,289,232,35,35,Speed Limit 50
03-15 03.30.19.jpg,298,283,32,35,Speed Limit 30
03-15 04.05.03.jpg,282,351,37,38,Speed Limit 50
03-15 04.16.11.jpg,248,206,58,59,Speed Limit 50
03-15 06.09.38.jpg,294,105,47,40,Speed Limit 40
03-15 12.24.17.jpg,246,20,48,57,Speed Limit 50
03-15 12.54.56.jpg,280,305,35,36,Speed Limit 30
03-15 12.59.54.jpg,251,191,53,51,Speed Limit 40
03-15 02.15.16.jpg,195,1191,50,99,Speed Limit 50
01-16 03.43.48.jpg,295,104,42,38,Speed Limit 80
01-16 03.49.26.jpg,290,323,44,42,Speed Limit 80
01-16 03.52.13.jpg,291,178,45,42,Speed Limit 50
01-16 04.01.36.jpg,341,435,20,20,Speed Limit 50
01-16 04.06.57.jpg,326,334,26,25,Speed Limit 50
03-16 04.36.51.jpg,386,100,65,53,Speed Limit 20
03-17 01.22.09.jpg,388,344,27,25,Speed Limit 20
03-17 02.16.15.jpg,398,264,46,41,Speed Limit 30
03-17 02.28.46.jpg,330,220,37,43,Speed Limit 20
03-17 02.43.17.jpg,411,273,38,34,Speed Limit 20
03-17 02.45.19.jpg,372,398,29,32,Speed Limit 20
03-17 02.46.31.jpg,407,255,35,32,Speed Limit 30
03-17 03.07.40.jpg,303,68,76,67,Speed Limit 20
03-17 03.24.24.jpg,289,163,63,59,Speed Limit 20
03-17 04.08.44.jpg,356,391,38,38,Speed Limit 20
03-17 11.34.31.jpg,415,286,28,32,Speed Limit 20
03-17 11.38.08.jpg,386,282,45,43,Speed Limit 20
03-17 11.48.45.jpg,378,260,45,38,Speed Limit 20
03-17 11.51.45.jpg,357,94,63,66,Speed Limit 20
03-17 12.26.02.jpg,361,234,36,33,Speed Limit 20
03-17 12.26.21.jpg,349,248,30,31,Speed Limit 20
03-17 12.27.13.jpg,373,324,25,25,Speed Limit 20
03-17 12.28.19.jpg,318,135,63,58,Speed Limit 20
03-17 12.28.47.jpg,329,298,40,36,Speed Limit 20
03-17 12.28.57.jpg,334,165,49,40,Speed Limit 20
03-17 12.29.07.jpg,358,295,29,26,Speed Limit 20
03-17 12.35.34.jpg,375,326,44,43,Speed Limit 30
01-18 01.15.08.jpg,284,888,36,36,Speed Limit 60
01-18 12.39.56.jpg,360,453,22,22,Speed Limit 40
02-19 01.36.42.jpg,187,163,90,88,Speed Limit 30
02-19 02.03.41.jpg,300,182,42,42,Speed Limit 40
02-19 01.41.51.jpg,403,1066,50,88,Speed Limit 30
01-20 01.00.30.jpg,317,357,27,27,Speed Limit 30
01-20 01.01.49.jpg,366,446,23,22,Speed Limit 30
01-20 01.04.03.jpg,280,253,46,42,Speed Limit 30
01-20 01.39.25.jpg,275,284,51,51,Speed Limit 40
01-20 02.03.42.jpg,132,0,72,94,Speed Limit 30
01-20 01.06.19.jpg,96,1095,98,128,Speed Limit 20
01-20 03.53.51.jpg,117,1040,170,151,Speed Limit 30
01-20 01.25.33.jpg,280,824,47,84,Speed Limit 60
01-20 02.03.32.jpg,254,1070,57,92,Speed Limit 40
01-20 02.04.10.jpg,201,1074,84,128,Speed Limit 30
01-20 02.10.58.jpg,132,1161,124,160,Speed Limit 40
01-20 04.00.18.jpg,176,143,79,109,Speed Limit 30
02-20 01.32.05.jpg,312,448,28,26,Speed Limit 40
02-20 01.39.48.jpg,206,-2,83,88,Speed Limit 40
02-20 01.50.53.jpg,331,385,26,26,Speed Limit 20
02-20 02.14.57.jpg,249,60,98,90,Speed Limit 50
02-20 02.58.18.jpg,331,274,46,43,Speed Limit 80
02-20 09.49.17.jpg,306,440,26,21,Speed Limit 50
02-20 09.57.16.jpg,291,234,61,56,Speed Limit 80
02-20 09.58.43.jpg,304,469,22,23,Speed Limit 40
02-20 10.02.46.jpg,256,18,85,81,Speed Limit 80
02-20 02.21.43.jpg,-4,944,174,244,Speed Limit 80
02-20 01.51.59.jpg,147,1065,91,121,Speed Limit 20
02-20 03.10.44.jpg,267,951,63,116,Speed Limit 30
01-21 04.16.30.jpg,232,93,45,43,Speed Limit 80
01-21 04.20.48.jpg,305,842,41,42,Speed Limit 20
01-21 04.21.05.jpg,365,897,22,27,Speed Limit 20
01-21 04.22.18.jpg,289,856,55,56,Speed Limit 20
01-21 09.55.16.jpg,333,449,23,18,Speed Limit 20
01-21 10.03.22.jpg,314,273,29,26,Speed Limit 20
01-21 10.22.57.jpg,319,393,23,22,Speed Limit 20
02-21 02.24.38.jpg,348,207,47,45,Speed Limit 40
02-21 02.31.06.jpg,346,399,34,31,Speed Limit 40
02-21 04.23.53.jpg,347,196,24,21,Speed Limit 20
01-22 01.08.57.jpg,347,408,33,31,Speed Limit 20
01-22 01.09.09.jpg,223,-3,89,91,Speed Limit 20
01-22 01.09.16.jpg,245,28,62,64,Speed Limit 20
01-22 01.09.48.jpg,264,204,64,60,Speed Limit 20
01-22 01.10.16.jpg,318,245,38,36,Speed Limit 20
01-22 03.25.24.jpg,241,36,61,56,Speed Limit 80
01-22 04.34.20.jpg,317,298,27,25,Speed Limit 50
01-22 05.24.40.jpg,312,352,44,41,Speed Limit 50
01-22 05.25.01.jpg,341,419,27,24,Speed Limit 40
01-22 10.10.56.jpg,331,92,32,27,Speed Limit 50
01-22 10.31.42.jpg,332,145,31,29,Speed Limit 80
01-22 10.35.11.jpg,286,110,43,49,Speed Limit 80
01-22 10.36.09.jpg,376,434,19,20,Speed Limit 50
01-22 10.38.35.jpg,336,196,28,22,Speed Limit 50
01-22 10.38.44.jpg,338,248,28,30,Speed Limit 80
01-22 10.40.27.jpg,315,235,46,46,Speed Limit 50
01-22 11.00.52.jpg,342,382,33,31,Speed Limit 50
01-22 11.24.30.jpg,321,93,35,33,Speed Limit 80
01-22 11.33.26.jpg,351,378,30,29,Speed Limit 80
01-22 11.34.59.jpg,355,433,32,31,Speed Limit 50
01-22 12.11.49.jpg,355,379,30,30,Speed Limit 40
01-22 01.09.43.jpg,233,889,53,92,Speed Limit 20
01-22 01.27.42.jpg,154,1029,72,104,Speed Limit 80
01-22 03.25.01.jpg,271,892,83,108,Speed Limit 50
01-22 05.25.01.jpg,283,947,69,89,Speed Limit 50
02-22 05.18.52.jpg,376,149,27,24,Speed Limit 50
02-22 05.39.45.jpg,341,278,36,34,Speed Limit 60
01-23 10.56.24.jpg,345,323,29,33,Speed Limit 20
01-24 01.08.35.jpg,266,-1,41,45,Speed Limit 40
01-24 01.35.10.jpg,319,252,49,48,Speed Limit 20
01-24 04.45.32.jpg,322,320,33,34,Speed Limit 40
01-24 12.58.04.jpg,308,129,43,42,Speed Limit 30
02-24 02.20.48.jpg,415,337,30,36,Speed Limit 40
02-24 02.22.11.jpg,385,103,42,39,Speed Limit 80
02-24 02.23.39.jpg,394,205,35,36,Speed Limit 80
02-24 02.31.40.jpg,410,778,20,22,Speed Limit 80
02-24 02.44.29.jpg,279,875,60,55,Speed Limit 80
02-24 02.51.44.jpg,429,261,30,29,Speed Limit 40
02-24 02.53.52.jpg,396,385,28,28,Speed Limit 80
02-24 03.05.09.jpg,383,115,44,40,Speed Limit 80
02-24 04.15.31.jpg,322,229,63,59,Speed Limit 50
02-24 11.18.29.jpg,426,207,47,42,Speed Limit 30
02-24 11.20.13.jpg,394,368,40,43,Speed Limit 30
02-24 11.38.58.jpg,381,231,59,57,Speed Limit 50
02-24 02.22.55.jpg,151,1116,65,90,Speed Limit 80
02-24 10.26.50.jpg,99,867,101,153,Speed Limit 30
01-25 05.35.00.jpg,266,171,59,54,Speed Limit 20
01-25 08.50.53.jpg,257,118,66,63,Speed Limit 20
02-25 03.47.53.jpg,204,860,72,72,Speed Limit 30
02-25 10.16.30.jpg,333,186,51,44,Speed Limit 30
01-26 02.33.56.jpg,61,237,95,83,Speed Limit 30
01-26 03.26.52.jpg,273,900,45,44,Speed Limit 40
01-27 01.06.38.jpg,175,1,100,101,Speed Limit 30
01-27 12.44.07.jpg,291,829,26,30,Speed Limit 80
01-27 12.59.04.jpg,228,70,65,57,Speed Limit 40
01-29 01.25.14.jpg,287,260,34,31,Speed Limit 40
01-29 01.27.11.jpg,247,63,72,73,Speed Limit 40
01-29 01.27.56.jpg,277,206,61,53,Speed Limit 40
01-29 01.30.14.jpg,275,127,59,51,Speed Limit 40
01-29 11.19.02.jpg,288,234,31,30,Speed Limit 40
01-29 11.20.03.jpg,297,286,25,25,Speed Limit 40
01-29 11.20.47.jpg,254,39,62,58,Speed Limit 40
01-29 11.27.23.jpg,319,207,37,34,Speed Limit 40
01-29 11.28.10.jpg,273,185,40,36,Speed Limit 40
01-29 11.28.34.jpg,296,261,35,33,Speed Limit 40
01-29 11.32.42.jpg,215,60,77,71,Speed Limit 30
01-29 12.46.03.jpg,239,51,85,80,Speed Limit 40
01-29 12.46.55.jpg,258,214,54,49,Speed Limit 40
01-29 12.48.08.jpg,288,351,35,32,Speed Limit 40
01-29 12.59.00.jpg,265,333,52,48,Speed Limit 40
